item,option,supplier,part_number,price,multiplier,category
Air Flow Monitor,Ebtron Under 8K CFM,Mike Moore Sales,Ebtron Gold Series,2150.0,1.0,Air Flow Monitor
Air Flow Monitor,Ebtron 8K to 20K CFM,Mike Moore Sales,Ebtron Gold Series,2595.0,1.0,Air Flow Monitor
Air Flow Monitor,Ebtron Over 20K CFM,Mike Moore Sales,Ebtron Gold Series,2965.0,1.0,Air Flow Monitor
Air Flow Monitor,Ebtron Fan Array for 2 or 4 Fans,Mike Moore Sales,GTC108-F/A4,2000.0,1.0,Air Flow Monitor
Air Flow Monitor,Ebtron Fan Array for 3 or 6 Fans,Mike Moore Sales,GTC108-F/A6,2545.0,1.0,Air Flow Monitor
Air Flow Monitor,Ebtron Fan Array for 4 or 8 Fans,Mike Moore Sales,GTC108-F/A8,3100.0,1.0,Air Flow Monitor
Air Flow Monitor,Voluflo OA Diff Press Low Flow Monitor,TRS ,,0.0,1.0,Air Flow Monitor
Air Flow Monitor,Electraflo SD OA Monitor - Small Duct,TRS ,,0.0,1.0,Air Flow Monitor
Air Flow Monitor,Retrofit Flow Ring for VAV Boxes,Nailor,36FMI,95.0,1.0,Air Flow Monitor
Alarm Indication Panel,Flush Mtd,Kele,RAD-1,128.76,1.0,Alarm Indication Panel
Alarm Indication Panel,Surface Mtd,Kele,AIS-24A,140.94,1.0,Alarm Indication Panel
BacNet Card,,Honeywell,DR-MSTP-AX,0.0,1.0,BacNet Card
Modbus Card,,Honeywell,,0.0,1.0,Modbus Card
BTU Meter,,Onicon,System 10 + F3500 Flow Meter,4635.0,1.0,BTU Meter
Comm Card,,,,243.0,1.0,Comm Card
Computer,Laptop,,,1200.0,1.0,Computer
Computer,Desktop,,,2200.0,1.0,Computer
Computer,Server,,,3500.0,1.0,Computer
Computer,BACNet/IP Router,Kele,BASRT-B,400.62,1.0,Computer
Communicating Room Thermostat,"2H/2C, 2BIs, OAT, Econ- BACnet",Broudy,TEC3630-14-000,459.05,1.05,Communicating Room Thermostat
