county,tax_rate
"Alamance, NC",0.0675
"Alexander, NC",0.07
"Alleghany, NC",0.07
"Anson, NC",0.07
"Ashe, NC",0.07
"Avery, NC",0.0675
"Beaufort, NC",0.0675
"Bertie, NC",0.07
"Bladen, NC",0.0675
"Brunswick, NC",0.0675
"Buncombe, NC",0.07
"Burke, NC",0.0675
"Cabarrus, NC",0.07
"Caldwell, NC",0.0675
"Camden, NC",0.0675
"Carteret, NC",0.0675
"Caswell, NC",0.0675
"Catawba, NC",0.07
"Chatham, NC",0.07
"Cherokee, NC",0.07
"Chowan, NC",0.0675
"Clay, NC",0.07
"Cleveland, NC",0.0675
"Columbus, NC",0.0675
"Craven, NC",0.0675
"Cumberland, NC",0.07
"Currituck, NC",0.0675
"Dare, NC",0.0675
"Davidson, NC",0.07
"Davie, NC",0.0675
"Duplin, NC",0.07
"Durham, NC",0.075
"Edgecombe, NC",0.07
"Forsyth, NC",0.07
"Franklin, NC",0.0675
"Gaston, NC",0.07
"Gates, NC",0.0675
"Graham, NC",0.07
"Granville, NC",0.0675
"Greene, NC",0.07
"Guilford, NC",0.0675
"Halifax, NC",0.07
"Harnett, NC",0.07
"Haywood, NC",0.07
"Henderson, NC",0.0675
"Hertford, NC",0.07
"Hoke, NC",0.0675
"Hyde, NC",0.0675
"Iredell, NC",0.0675
"Jackson, NC",0.07
"Johnston, NC",0.0675
"Jones, NC",0.07
"Lee, NC",0.07
"Lenoir, NC",0.0675
"Lincoln, NC",0.07
"Macon, NC",0.0675
"Madison, NC",0.07
"Martin, NC",0.07
"McDowell, NC",0.0675
"Mecklenburg, NC",0.0825
"Mitchell, NC",0.0675
"Montgomery, NC",0.07
"Moore, NC",0.07
"Nash, NC",0.0675
"New Hanover, NC",0.07
"Northampton, NC",0.0675
"Onslow, NC",0.07
"Orange, NC",0.075
"Pamlico, NC",0.0675
"Pasquotank, NC",0.07
"Pender, NC",0.0675
"Perquimans, NC",0.0675
"Person, NC",0.0675
"Pitt, NC",0.07
"Polk, NC",0.0675
"Randolph, NC",0.07
"Richmond, NC",0.0675
"Robeson, NC",0.07
"Rockingham, NC",0.07
"Rowan, NC",0.07
"Rutherford, NC",0.07
"Sampson, NC",0.07
"Scotland, NC",0.0675
"Stanly, NC",0.07
"Stokes, NC",0.0675
"Surry, NC",0.07
"Swain, NC",0.07
"Transylvania, NC",0.0675
"Tyrrell, NC",0.0675
"Union, NC",0.0675
"Vance, NC",0.0675
"Wake, NC",0.0725
"Warren, NC",0.0675
"Washington, NC",0.07
"Watauga, NC",0.0675
"Wayne, NC",0.0675
"Wilkes, NC",0.07
"Wilson, NC",0.0675
"Yadkin, NC",0.0675
"Yancey, NC",0.0675
"Abbeville, SC",0.08
"Aiken, SC",0.08
"Allendale, SC",0.08
"Anderson, SC",0.08
"Bamberg, SC",0.08
"Barnwell, SC",0.08
"Beaufort, SC",0.09
"Berkeley, SC",0.09
"Calhoun, SC",0.08
"Charleston, SC",0.09
"Cherokee, SC",0.08
"Chester, SC",0.08
"Chesterfield, SC",0.08
"Clarendon, SC",0.08
"Colleton, SC",0.08
"Darlington, SC",0.08
"Dillon, SC",0.08
"Dorchester, SC",0.09
"Edgefield, SC",0.08
"Fairfield, SC",0.08
"Florence, SC",0.08
"Georgetown, SC",0.07
"Greenville, SC",0.08
"Greenwood, SC",0.08
"Hampton, SC",0.09
"Horry, SC",0.09
"Jasper, SC",0.09
"Kershaw, SC",0.08
"Lancaster, SC",0.08
"Laurens, SC",0.08
"Lee, SC",0.08
"Lexington, SC",0.08
"Marion, SC",0.08
"Marlboro, SC",0.08
"McCormick, SC",0.08
"Newberry, SC",0.08
"Oconee, SC",0.07
"Orangeburg, SC",0.09
"Pickens, SC",0.07
"Richland, SC",0.08
"Saluda, SC",0.08
"Spartanburg, SC",0.08
"Sumter, SC",0.08
"Union, SC",0.08
"Williamsburg, SC",0.08
"York County, SC",0.07
"Alachua, Fl",0.075
"Baker, Fl",0.07
"Bay, Fl",0.075
"Bradford, Fl",0.075
"Brevard, Fl",0.07
"Broward, Fl",0.07
"Calhoun, Fl",0.075
"Charlotte, Fl",0.07
"Citrus, Fl",0.065
"Clay, Fl",0.075
"Coller, Fl",0.075
"Columbia, Fl",0.075
"Desoto, Fl",0.075
"Dixie, Fl",0.07
"Duval, Fl",0.075
"Escambia, Fl",0.075
"Flagler, Fl",0.07
"Franklin, Fl",0.075
"Gadsden, Fl",0.075
"Gilchrist, Fl",0.075
"Glades, Fl",0.075
"Gulf, Fl",0.075
"Hamilton, Fl",0.08
"Hardee, Fl",0.075
"Hendry, Fl",0.075
"Hernando, Fl",0.07
"Highlands, Fl",0.075
"Hillsborough, Fl",0.075
"Holmes, Fl",0.075
"Indian River, Fl",0.07
"Jackson, Fl",0.075
"Jefferson, Fl",0.075
"Lafayette, Fl",0.075
"Lake, Fl",0.075
"Lee, Fl",0.075
"Leon, Fl",0.075
"Levy, Fl",0.075
"Liberty, Fl",0.075
"Madison, Fl",0.075
"Manatee, Fl",0.07
"Marion, Fl",0.075
"Martin, Fl",0.07
"Miani-Dade, Fl",0.07
"Monroe, Fl",0.075
"Nassau, Fl",0.075
"Okaloosa, Fl",0.07
"Okeechobee, Fl",0.075
"Orange, Fl",0.075
"Osceola, Fl",0.075
"Palm Beach, Fl",0.07
"Pasco, Fl",0.075
"Pinellas, Fl",0.075
"Polk, Fl",0.075
"Putnam, Fl",0.075
"Santa Rosa, Fl",0.075
"Sarasota, Fl",0.07
"Seminole, Fl",0.07
"St. Johns, Fl",0.075
"St. Lucie, Fl",0.07
